name,checked,lemma,path,dictionary
trienio,triênio,trienio,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/trienio.wmv'],Acessibilidades2
acautelar,acautelar,acautelar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/acautelar.wmv'],Acessibilidades2
morro,morro,morro,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/morro.wmv'],Acessibilidades2
morro,morro,morro,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/morro2.wmv'],Acessibilidades2
espirito santo,espírito santo,espirito,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/espirito-santo2.wmv'],Acessibilidades2
espirito santo,espírito santo,espirito,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/espirito-santo1.wmv'],Acessibilidades2
comida,comida,comer,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/comida.wmv'],Acessibilidades2
oculista,oculista,oculista,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/oculista.wmv'],Acessibilidades2
paulada,paulada,paular,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/paulada.wmv'],Acessibilidades2
polo,pólo,polo,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/polo3.wmv'],Acessibilidades2
polo,pólo,polo,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/polo2.wmv'],Acessibilidades2
polo,pólo,polo,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/polo1.wmv'],Acessibilidades2
encobrir,encobrir,encobrir,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/encobrir.wmv'],Acessibilidades2
alugar,alugar,alugar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/alugar.wmv'],Acessibilidades2
sobressaltar,sobressaltar,sobressaltar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/sobressaltar.wmv'],Acessibilidades2
culto,culto,culto,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/culto1.wmv'],Acessibilidades2
culto,culto,culto,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/culto2.wmv'],Acessibilidades2
pomada,pomada,pomar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/pomada.wmv'],Acessibilidades2
traseiro,traseiro,traseiro,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/traseiro1.wmv'],Acessibilidades2
traseiro,traseiro,traseiro,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/traseiro2.wmv'],Acessibilidades2
sacanagem,sacanagem,sacanagem,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/sacanagem.wmv'],Acessibilidades2
tres,três,tr,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/tres2.wmv'],Acessibilidades2
tres,três,tr,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/tres1.wmv'],Acessibilidades2
quinta serie,quinta serie,quinto,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/quinta-serie.wmv'],Acessibilidades2
calo,calo,calo,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/calo.wmv'],Acessibilidades2
beliscar,beliscar,beliscar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/beliscar.wmv'],Acessibilidades2
afastado,afastado,afastar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/afastado2.wmv'],Acessibilidades2
afastado,afastado,afastar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/afastado1.wmv'],Acessibilidades2
converter,converter,converter,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/converter.wmv'],Acessibilidades2
costureira,costureira,costureira,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/costureira.wmv'],Acessibilidades2
velho,velho,velho,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/velho1.wmv'],Acessibilidades2
velho,velho,velho,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/velho2.wmv'],Acessibilidades2
independente,independente,independente,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/independente.wmv'],Acessibilidades2
escultura,escultura,escultura,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/escultura.wmv'],Acessibilidades2
leitao,leitão,leitao,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/leitao.wmv'],Acessibilidades2
problematico,problemático,problematico,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/problematico.wmv'],Acessibilidades2
trair,trair,trair,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/trair2.wmv'],Acessibilidades2
mes,mês,mes,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/mes.wmv'],Acessibilidades2
vibora,víbora,vibora,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/vibora.wmv'],Acessibilidades2
madrasta,madrasta,madrasta,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/madrasta.wmv'],Acessibilidades2
detergente,detergente,detergente,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/detergente.wmv'],Acessibilidades2
nojo,nojo,nojo,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/nojo.wmv'],Acessibilidades2
teste,teste,teste,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/teste1.wmv'],Acessibilidades2
jilo,jiló,jilo,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/jilo.wmv'],Acessibilidades2
beijar,beijar,beijar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/beijar2.wmv'],Acessibilidades2
beijar,beijar,beijar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/beijar3.wmv'],Acessibilidades2
beijar,beijar,beijar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/beijar1.wmv'],Acessibilidades2
medicina,medicina,Medicina,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/medicina.wmv'],Acessibilidades2
redor,redor,redor,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/redor.wmv'],Acessibilidades2
enganar,enganar,enganar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/enganar1.wmv'],Acessibilidades2
enganar,enganar,enganar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/enganar2.wmv'],Acessibilidades2
estrela,estrela,estrela,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/estrela.wmv'],Acessibilidades2
esponja,esponja,esponja,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/esponja.wmv'],Acessibilidades2
grupo,grupo,grupo,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/grupo.wmv'],Acessibilidades2
grupo,grupo,grupo,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/grupo2.wmv'],Acessibilidades2
van,van,van,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/van.wmv'],Acessibilidades2
tolice,tolice,tolice,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/tolice.wmv'],Acessibilidades2
masturbar,masturbar,masturbar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/masturbar1.wmv'],Acessibilidades2
masturbar,masturbar,masturbar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/masturbar2.wmv'],Acessibilidades2
rio grande do norte,rio grande do norte,Rio,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/rio-grande-do-norte.wmv'],Acessibilidades2
crespo,crespo,crespo,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/crespo.wmv'],Acessibilidades2
onibus,ônibus,onibu,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/onibus3.wmv'],Acessibilidades2
onibus,ônibus,onibu,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/onibus2.wmv'],Acessibilidades2
nene,nenê,nene,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/nene.wmv'],Acessibilidades2
decompor,decompor,decompor,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/decompor.wmv'],Acessibilidades2
ninguem,ninguém,ninguem,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/ninguem4.wmv'],Acessibilidades2
ninguem,ninguém,ninguem,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/ninguem1.wmv'],Acessibilidades2
ninguem,ninguém,ninguem,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/ninguem6.wmv'],Acessibilidades2
ninguem,ninguém,ninguem,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/ninguem2.wmv'],Acessibilidades2
ninguem,ninguém,ninguem,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/ninguem5.wmv'],Acessibilidades2
papelao,papelão,papelao,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/papelao.wmv'],Acessibilidades2
puro,puro,puro,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/puro.wmv'],Acessibilidades2
exagerado,exagerado,exagerar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/exagerado.wmv'],Acessibilidades2
vazio,vazio,vazio,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/vazio2.wmv'],Acessibilidades2
vazio,vazio,vazio,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/vazio.wmv'],Acessibilidades2
alivio,alívio,alivio,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/alivio.wmv'],Acessibilidades2
diarreia,diarréia,diarreia,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/diarreia.wmv'],Acessibilidades2
pisar,pisar,pisar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/pisar.wmv'],Acessibilidades2
bencao,benção,bencao,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/bencao.wmv'],Acessibilidades2
sair,sair,sair,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/sair2.wmv'],Acessibilidades2
sair,sair,sair,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/sair.wmv'],Acessibilidades2
evangelho,evangelho,evangelho,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/evangelho.wmv'],Acessibilidades2
para que,pará que,para,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/para-que.wmv'],Acessibilidades2
quadro,quadro,quadro,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/quadro.wmv'],Acessibilidades2
apimentado,apimentado,apimentar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/apimentado.wmv'],Acessibilidades2
prosperar,prosperar,prosperar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/prosperar.wmv'],Acessibilidades2
percentagem,percentagem,percentagem,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/percentagem.wmv'],Acessibilidades2
direito,direito,direito,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/direito2.wmv'],Acessibilidades2
direito,direito,direito,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/direito1.wmv'],Acessibilidades2
direito,direito,direito,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/direito3.wmv'],Acessibilidades2
direito,direito,direito,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/direito.wmv'],Acessibilidades2
planilha,planilha,planilha,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/planilha.wmv'],Acessibilidades2
praca,praça,praca,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/praca3.wmv'],Acessibilidades2
praca,praça,praca,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/praca2.wmv'],Acessibilidades2
empatar,empatar,empatar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/empatar.wmv'],Acessibilidades2
pedagogia,pedagogia,pedagogia,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/pedagogia.wmv'],Acessibilidades2
decepcionar,decepcionar,decepcionar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/decepcionar.wmv'],Acessibilidades2
gol,gol,gol,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/gol.wmv'],Acessibilidades2
valente,valente,valente,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/valente.wmv'],Acessibilidades2
arbusto,arbusto,arbusto,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/arbusto.wmv'],Acessibilidades2
possivel,possível,possivel,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/possivel.wmv'],Acessibilidades2
chegar,chegar,chegar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/chegar3.wmv'],Acessibilidades2
chegar,chegar,chegar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/chegar1.wmv'],Acessibilidades2
chegar,chegar,chegar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/chegar2.wmv'],Acessibilidades2
boa vida,boa vida,bom,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/boa-vida.wmv'],Acessibilidades2
dramatizacao,dramatização,dramatizacao,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/dramatizacao.wmv'],Acessibilidades2
canadense,canadense,canadense,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/canadense.wmv'],Acessibilidades2
queixo,queixo,queixo,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/queixo.wmv'],Acessibilidades2
maraja,marajá,maraja,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/maraja.wmv'],Acessibilidades2
entornar,entornar,entornar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/entornar.wmv'],Acessibilidades2
campeao,campeão,Campeao,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/campeao.wmv'],Acessibilidades2
ilegal,ilegal,ilegal,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/ilegal.wmv'],Acessibilidades2
ilegal,ilegal,ilegal,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/ilegal2.wmv'],Acessibilidades2
levantar,levantar,levantar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/levantar3.wmv'],Acessibilidades2
levantar,levantar,levantar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/levantar1.wmv'],Acessibilidades2
levantar,levantar,levantar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/levantar2.wmv'],Acessibilidades2
torcer,torcer,torcer,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/torcer3.wmv'],Acessibilidades2
torcer,torcer,torcer,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/torcer1.wmv'],Acessibilidades2
torcer,torcer,torcer,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/torcer2.wmv'],Acessibilidades2
divertido,divertido,divertido,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/divertido.wmv'],Acessibilidades2
malvado,malvado,malvar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/malvado.wmv'],Acessibilidades2
marmita,marmita,marmitar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/marmita.wmv'],Acessibilidades2
canal de tv,canal de tv,canal,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/canal-de-tv.wmv'],Acessibilidades2
eliminar,eliminar,eliminar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/eliminar.wmv'],Acessibilidades2
coelho,coelho,coelho,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/coelho.wmv'],Acessibilidades2
chega,chega,chegar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/chega.wmv'],Acessibilidades2
vovo,vovó,vovo,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/vovo2.wmv'],Acessibilidades2
vovo,vovó,vovo,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/vovo1.wmv'],Acessibilidades2
intervalo,intervalo,intervalo,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/intervalo.wmv'],Acessibilidades2
