label,path,dictionary,tensor_path
espelho,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/espelho.wmv'],Acessibilidades2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/espelho/Acessibilidades2_espelho.pt']
esquina,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/esquina.wmv'],Acessibilidades2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/esquina/Acessibilidades2_esquina.pt']
filho,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/filho.wmv'],Acessibilidades2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/filho/Acessibilidades2_filho.pt']
maca,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/maca.wmv'],Acessibilidades2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/maca/Acessibilidades2_maca.pt']
medo,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/medo.wmv'],Acessibilidades2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/medo/Acessibilidades2_medo.pt']
ruim,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/ruim1.wmv'],Acessibilidades2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/ruim/Acessibilidades2_ruim1.pt']
ruim,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/ruim2.wmv'],Acessibilidades2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/ruim/Acessibilidades2_ruim2.pt']
sapo,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/sapo.wmv'],Acessibilidades2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/sapo/Acessibilidades2_sapo.pt']
vacina,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/vacina.wmv'],Acessibilidades2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/vacina/Acessibilidades2_vacina.pt']
vacina,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/vacinar1.wmv'],Acessibilidades2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/vacina/Acessibilidades2_vacinar1.pt']
vontade,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/vontade.wmv'],Acessibilidades2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/vontade/Acessibilidades2_vontade.pt']
acontecer,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_3/videos/acontecer2Sm_Prog001.mp4'],Acessibilidades3,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/acontecer/Acessibilidades3_acontecer2Sm_Prog001.pt']
acontecer,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_3/videos/acontecer3Sm_Prog001.mp4'],Acessibilidades3,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/acontecer/Acessibilidades3_acontecer3Sm_Prog001.pt']
acontecer,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_3/videos/acontecer1Sm_Prog001.mp4'],Acessibilidades3,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/acontecer/Acessibilidades3_acontecer1Sm_Prog001.pt']
aluno,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_3/videos/aluno1Sm_Prog001.mp4'],Acessibilidades3,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/aluno/Acessibilidades3_aluno1Sm_Prog001.pt']
amarelo,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_3/videos/amareloSm_Prog001.mp4'],Acessibilidades3,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/amarelo/Acessibilidades3_amareloSm_Prog001.pt']
america,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_3/videos/americaSm_Prog001.mp4'],Acessibilidades3,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/america/Acessibilidades3_americaSm_Prog001.pt']
aproveitar,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_3/videos/aproveitar1Sm_Prog001.mp4'],Acessibilidades3,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/aproveitar/Acessibilidades3_aproveitar1Sm_Prog001.pt']
aproveitar,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_3/videos/aproveitar2Sm_Prog001.mp4'],Acessibilidades3,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/aproveitar/Acessibilidades3_aproveitar2Sm_Prog001.pt']
bala,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_3/videos/bala2Sm_Prog001.mp4'],Acessibilidades3,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/bala/Acessibilidades3_bala2Sm_Prog001.pt']
banco,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_3/videos/banco2Sm_Prog001.mp4'],Acessibilidades3,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/banco/Acessibilidades3_banco2Sm_Prog001.pt']
banco,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_3/videos/banco3Sm_Prog001.mp4'],Acessibilidades3,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/banco/Acessibilidades3_banco3Sm_Prog001.pt']
banco,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_3/videos/banco1Sm_Prog001.mp4'],Acessibilidades3,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/banco/Acessibilidades3_banco1Sm_Prog001.pt']
banheiro,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_3/videos/banheiroSm_Prog001.mp4'],Acessibilidades3,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/banheiro/Acessibilidades3_banheiroSm_Prog001.pt']
barulho,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_3/videos/barulhoSm_Prog001.mp4'],Acessibilidades3,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/barulho/Acessibilidades3_barulhoSm_Prog001.pt']
conhecer,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_3/videos/conhecerSm_Prog001.mp4'],Acessibilidades3,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/conhecer/Acessibilidades3_conhecerSm_Prog001.pt']
espelho,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_3/videos/espelhoSm_Prog001.mp4'],Acessibilidades3,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/espelho/Acessibilidades3_espelhoSm_Prog001.pt']
esquina,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_3/videos/esquinaSm_Prog001.mp4'],Acessibilidades3,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/esquina/Acessibilidades3_esquinaSm_Prog001.pt']
filho,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_3/videos/filhoSm_Prog001.mp4'],Acessibilidades3,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/filho/Acessibilidades3_filhoSm_Prog001.pt']
medo,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_3/videos/medoSm_Prog001.mp4'],Acessibilidades3,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/medo/Acessibilidades3_medoSm_Prog001.pt']
ruim,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_3/videos/ruim1Sm_Prog001.mp4'],Acessibilidades3,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/ruim/Acessibilidades3_ruim1Sm_Prog001.pt']
ruim,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_3/videos/ruim2Sm_Prog001.mp4'],Acessibilidades3,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/ruim/Acessibilidades3_ruim2Sm_Prog001.pt']
sapo,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_3/videos/sapoSm_Prog001.mp4'],Acessibilidades3,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/sapo/Acessibilidades3_sapoSm_Prog001.pt']
vacina,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_3/videos/vacinaSm_Prog001.mp4'],Acessibilidades3,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/vacina/Acessibilidades3_vacinaSm_Prog001.pt']
vontade,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_3/videos/vontadeSm_Prog001.mp4'],Acessibilidades3,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/vontade/Acessibilidades3_vontadeSm_Prog001.pt']
acontecer,['/mnt/F-SSD/LIBRAS_datasets/datasets/spread_the_sign/videos/acontecer.mp4'],SpreadTheSign,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/acontecer/SpreadTheSign_acontecer.pt']
amarelo,['/mnt/F-SSD/LIBRAS_datasets/datasets/spread_the_sign/videos/amarelo.mp4'],SpreadTheSign,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/amarelo/SpreadTheSign_amarelo.pt']
america,['/mnt/F-SSD/LIBRAS_datasets/datasets/spread_the_sign/videos/América.mp4'],SpreadTheSign,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/america/SpreadTheSign_América.pt']
aproveitar,['/mnt/F-SSD/LIBRAS_datasets/datasets/spread_the_sign/videos/aproveitar.mp4'],SpreadTheSign,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/aproveitar/SpreadTheSign_aproveitar.pt']
banco,['/mnt/F-SSD/LIBRAS_datasets/datasets/spread_the_sign/videos/banco.mp4'],SpreadTheSign,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/banco/SpreadTheSign_banco.pt']
banheiro,['/mnt/F-SSD/LIBRAS_datasets/datasets/spread_the_sign/videos/Banheiro.mp4'],SpreadTheSign,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/banheiro/SpreadTheSign_Banheiro.pt']
barulho,['/mnt/F-SSD/LIBRAS_datasets/datasets/spread_the_sign/videos/barulho.mp4'],SpreadTheSign,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/barulho/SpreadTheSign_barulho.pt']
conhecer,['/mnt/F-SSD/LIBRAS_datasets/datasets/spread_the_sign/videos/Conhecer.mp4'],SpreadTheSign,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/conhecer/SpreadTheSign_Conhecer.pt']
espelho,['/mnt/F-SSD/LIBRAS_datasets/datasets/spread_the_sign/videos/espelho.mp4'],SpreadTheSign,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/espelho/SpreadTheSign_espelho.pt']
esquina,['/mnt/F-SSD/LIBRAS_datasets/datasets/spread_the_sign/videos/esquina.mp4'],SpreadTheSign,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/esquina/SpreadTheSign_esquina.pt']
filho,['/mnt/F-SSD/LIBRAS_datasets/datasets/spread_the_sign/videos/filho.mp4'],SpreadTheSign,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/filho/SpreadTheSign_filho.pt']
maca,['/mnt/F-SSD/LIBRAS_datasets/datasets/spread_the_sign/videos/maçã.mp4'],SpreadTheSign,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/maca/SpreadTheSign_maçã.pt']
medo,['/mnt/F-SSD/LIBRAS_datasets/datasets/spread_the_sign/videos/medo.mp4'],SpreadTheSign,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/medo/SpreadTheSign_medo.pt']
sapo,['/mnt/F-SSD/LIBRAS_datasets/datasets/spread_the_sign/videos/sapo.mp4'],SpreadTheSign,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/sapo/SpreadTheSign_sapo.pt']
vacina,['/mnt/F-SSD/LIBRAS_datasets/datasets/spread_the_sign/videos/vacinação.mp4'],SpreadTheSign,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/vacina/SpreadTheSign_vacinação.pt']
vacina,['/mnt/F-SSD/LIBRAS_datasets/datasets/spread_the_sign/videos/vacina.mp4'],SpreadTheSign,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/vacina/SpreadTheSign_vacina.pt']
acontecer,['/mnt/F-SSD/dataset-ufpe/Acontecer_1.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/acontecer/UFPE_Acontecer_1.pt']
acontecer,['/mnt/F-SSD/dataset-ufpe/Acontecer_2.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/acontecer/UFPE_Acontecer_2.pt']
acontecer,['/mnt/F-SSD/dataset-ufpe/Acontecer_3.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/acontecer/UFPE_Acontecer_3.pt']
aluno,['/mnt/F-SSD/dataset-ufpe/Aluno_do_Segundo_Ano_do_Ensino_Médio_1.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/aluno/UFPE_Aluno_do_Segundo_Ano_do_Ensino_Médio_1.pt']
aluno,['/mnt/F-SSD/dataset-ufpe/Aluno_do_Segundo_Ano_do_Ensino_Médio_2.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/aluno/UFPE_Aluno_do_Segundo_Ano_do_Ensino_Médio_2.pt']
aluno,['/mnt/F-SSD/dataset-ufpe/Aluno_do_Segundo_Ano_do_Ensino_Médio_3.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/aluno/UFPE_Aluno_do_Segundo_Ano_do_Ensino_Médio_3.pt']
amarelo,['/mnt/F-SSD/dataset-ufpe/Amarelo_1.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/amarelo/UFPE_Amarelo_1.pt']
amarelo,['/mnt/F-SSD/dataset-ufpe/Amarelo_2.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/amarelo/UFPE_Amarelo_2.pt']
amarelo,['/mnt/F-SSD/dataset-ufpe/Amarelo_3.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/amarelo/UFPE_Amarelo_3.pt']
banheiro,['/mnt/F-SSD/dataset-ufpe/Banheiro_1.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/banheiro/UFPE_Banheiro_1.pt']
banheiro,['/mnt/F-SSD/dataset-ufpe/Banheiro_2.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/banheiro/UFPE_Banheiro_2.pt']
banheiro,['/mnt/F-SSD/dataset-ufpe/Banheiro_3.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/banheiro/UFPE_Banheiro_3.pt']
barulho,['/mnt/F-SSD/dataset-ufpe/Barulho_1.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/barulho/UFPE_Barulho_1.pt']
barulho,['/mnt/F-SSD/dataset-ufpe/Barulho_2.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/barulho/UFPE_Barulho_2.pt']
barulho,['/mnt/F-SSD/dataset-ufpe/Barulho_3.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/barulho/UFPE_Barulho_3.pt']
espelho,['/mnt/F-SSD/dataset-ufpe/Espelho_1.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/espelho/UFPE_Espelho_1.pt']
espelho,['/mnt/F-SSD/dataset-ufpe/Espelho_2.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/espelho/UFPE_Espelho_2.pt']
espelho,['/mnt/F-SSD/dataset-ufpe/Espelho_3.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/espelho/UFPE_Espelho_3.pt']
filho,['/mnt/F-SSD/dataset-ufpe/Filho_1.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/filho/UFPE_Filho_1.pt']
filho,['/mnt/F-SSD/dataset-ufpe/Filho_2.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/filho/UFPE_Filho_2.pt']
filho,['/mnt/F-SSD/dataset-ufpe/Filho_3.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/filho/UFPE_Filho_3.pt']
maca,['/mnt/F-SSD/dataset-ufpe/Maçã_(rosto)_1.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/maca/UFPE_Maçã_(rosto)_1.pt']
maca,['/mnt/F-SSD/dataset-ufpe/Maçã_(rosto)_2.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/maca/UFPE_Maçã_(rosto)_2.pt']
maca,['/mnt/F-SSD/dataset-ufpe/Maçã_(rosto)_3.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/maca/UFPE_Maçã_(rosto)_3.pt']
ruim,['/mnt/F-SSD/dataset-ufpe/Ruim_1.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/ruim/UFPE_Ruim_1.pt']
ruim,['/mnt/F-SSD/dataset-ufpe/Ruim_2.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/ruim/UFPE_Ruim_2.pt']
ruim,['/mnt/F-SSD/dataset-ufpe/Ruim_3.mp4'],UFPE,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/ruim/UFPE_Ruim_3.pt']
acontecer,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/ACONTECER.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/acontecer/UFSC_ACONTECER.pt']
acontecer,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/ACONTECER2.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/acontecer/UFSC_ACONTECER2.pt']
aluno,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/ALUNO.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/aluno/UFSC_ALUNO.pt']
amarelo,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/AMARELO.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/amarelo/UFSC_AMARELO.pt']
america,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/AM%C3%89RICA.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/america/UFSC_AM%C3%89RICA.pt']
aproveitar,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/APROVEITAR.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/aproveitar/UFSC_APROVEITAR.pt']
bala,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/BALA.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/bala/UFSC_BALA.pt']
banco,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/BANCO.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/banco/UFSC_BANCO.pt']
banheiro,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/BANHEIRO.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/banheiro/UFSC_BANHEIRO.pt']
barulho,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/BARULHO.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/barulho/UFSC_BARULHO.pt']
conhecer,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/CONHECER.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/conhecer/UFSC_CONHECER.pt']
espelho,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/ESPELHO.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/espelho/UFSC_ESPELHO.pt']
esquina,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/ESQUINA.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/esquina/UFSC_ESQUINA.pt']
filho,['/mnt/F-SSD/LIBRAS_datasets/datasets/ufsc/videos/FILHO.mp4'],UFSC,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/filho/UFSC_FILHO.pt']
